model_name,video_id,prompt,CLIP Score,X-CLIP Score,BLIP-BLEU,T2VScore-A (GPT-4V)
pika,9,"A curious cat peers from the window, watching the world outside.",27.65607262,13.58537589,0.177941645,1
zeroscope,9,"A curious cat peers from the window, watching the world outside.",21.31771088,13.33179951,0.080674017,0.6
floor33,10,a horse,22.99843979,18.0832901,0.142857143,1
gen2,10,a horse,25.02150726,14.31050698,0.333333333,1
modelscope,10,a horse,23.47131729,18.34688282,0.285714286,1
pika,10,a horse,20.9588604,18.0446523,0.25,1
zeroscope,10,a horse,22.65702438,16.0214889,0.25,1
floor33,11,a pig,23.6124115,9.041755676,0.25,1
gen2,11,a pig,23.30924606,8.672713836,0.2,1
modelscope,11,a pig,24.87287903,9.911437511,0.25,1
pika,11,a pig,24.36098671,7.967595524,0.285714286,1
zeroscope,11,a pig,25.18181038,13.57097578,0.222222222,1
floor33,12,a squirrel,25.72666168,12.59815216,0.25,1
gen2,12,a squirrel,18.16744614,11.95897961,0.222222222,0
modelscope,12,a squirrel,24.36940384,13.18786478,0.25,1
pika,12,a squirrel,23.69037437,13.75007735,0.2,1
zeroscope,12,a squirrel,26.03943443,12.89690351,0.25,1
floor33,13,a bird,19.9575386,15.01966429,0.333333333,1
gen2,13,a bird,23.69403839,12.50071033,0.2,1
modelscope,13,a bird,10.49339676,6.681132674,0.125,0
pika,13,a bird,23.70353127,14.56943946,0.222222222,1
zeroscope,13,a bird,15.23099136,14.54381776,0.111111111,0.5
floor33,14,a zebra,25.26954651,18.66750431,0.333333333,1
gen2,14,a zebra,24.9560318,13.89750528,0.222222222,1
modelscope,14,a zebra,25.1507988,21.50944805,0.25,0.5
pika,14,a zebra,26.41647339,18.28866895,0.222222222,1
zeroscope,14,a zebra,24.41932869,16.92643642,0.333333333,0.5
floor33,15,Two elephants are playing on the beach and enjoying a delicious beef stroganoff meal.,25.06356239,18.29926968,0.118091638,0.333333333
gen2,15,Two elephants are playing on the beach and enjoying a delicious beef stroganoff meal.,32.43162918,15.47317942,0.469224032,0.666666667
modelscope,15,Two elephants are playing on the beach and enjoying a delicious beef stroganoff meal.,29.02851868,20.85783958,0.087865713,0.666666667
pika,15,Two elephants are playing on the beach and enjoying a delicious beef stroganoff meal.,27.20852089,14.29874706,0.284911101,0.333333333
zeroscope,15,Two elephants are playing on the beach and enjoying a delicious beef stroganoff meal.,25.77231216,18.13929653,0.25500152,0.5
floor33,16,Two fish eating spaghetti on a subway,20.59348869,16.24880791,0.25,0.25
gen2,16,Two fish eating spaghetti on a subway,22.18532372,11.32691638,0.25,0.5
modelscope,16,Two fish eating spaghetti on a subway,22.06463623,15.41018128,0.285714286,0.25
pika,16,Two fish eating spaghetti on a subway,33.11425018,18.36469248,0.444444444,1
zeroscope,16,Two fish eating spaghetti on a subway,25.77736282,18.13659763,0.2,0.5
floor33,17,A pod of dolphins gracefully swim and jump in the ocean.,22.732687,12.01692724,0.271451225,1
gen2,17,A pod of dolphins gracefully swim and jump in the ocean.,26.06008148,7.606846174,0.266912468,0.8
modelscope,17,A pod of dolphins gracefully swim and jump in the ocean.,28.25461197,10.47551894,0.180716527,0.4
pika,17,A pod of dolphins gracefully swim and jump in the ocean.,25.86408234,9.639455901,0.272727273,0.4
zeroscope,17,A pod of dolphins gracefully swim and jump in the ocean.,25.02779388,14.41891479,0.343644639,0.6
floor33,18,A peaceful cow grazing in a green field under the clear blue sky,25.2228775,17.44417572,0.378978599,1
gen2,18,A peaceful cow grazing in a green field under the clear blue sky,26.82135963,19.28020477,0.37040911,0.833333333
modelscope,18,A peaceful cow grazing in a green field under the clear blue sky,22.12996101,12.33257043,0.296327288,0.833333333
pika,18,A peaceful cow grazing in a green field under the clear blue sky,21.21513367,11.26709927,0.307692308,0.833333333
zeroscope,18,A peaceful cow grazing in a green field under the clear blue sky,26.02510452,16.49272299,0.259502687,1
floor33,19,"A cute and chubby giant panda is enjoying a bamboo meal in a lush forest. The panda is relaxed and content as it eats, and occasionally stops to scratch its ear with its paw.",28.40906906,17.18435764,0.034542513,0.75
gen2,19,"A cute and chubby giant panda is enjoying a bamboo meal in a lush forest. The panda is relaxed and content as it eats, and occasionally stops to scratch its ear with its paw.",27.85279083,11.3224682,0.009054977,0.875
modelscope,19,"A cute and chubby giant panda is enjoying a bamboo meal in a lush forest. The panda is relaxed and content as it eats, and occasionally stops to scratch its ear with its paw.",30.44782066,20.56906843,0.044936271,0.875
pika,19,"A cute and chubby giant panda is enjoying a bamboo meal in a lush forest. The panda is relaxed and content as it eats, and occasionally stops to scratch its ear with its paw.",29.89770126,20.64847628,0.020725508,0.625
zeroscope,19,"A cute and chubby giant panda is enjoying a bamboo meal in a lush forest. The panda is relaxed and content as it eats, and occasionally stops to scratch its ear with its paw.",26.95042038,17.86859989,0.056170338,0.625
floor33,20,dragon flying over the city at night,27.12352753,6.381112814,0.666666667,1
gen2,20,dragon flying over the city at night,26.91622543,9.528595765,0.75,1
modelscope,20,dragon flying over the city at night,29.24619675,12.9008069,0.666666667,0.8
pika,20,dragon flying over the city at night,24.84220886,8.802800814,0.75,0.8
zeroscope,20,dragon flying over the city at night,20.10726357,7.505445838,0.111111111,0
floor33,21,Pikachu snowboarding,31.00125885,15.75126791,1.95E-16,1
gen2,21,Pikachu snowboarding,24.95233917,10.72182926,1.40E-16,1
modelscope,21,Pikachu snowboarding,28.21835327,12.96408701,0.25,1
pika,21,Pikachu snowboarding,24.16622162,12.4373418,1.22E-16,1
zeroscope,21,Pikachu snowboarding,25.26955414,12.4952271,1.95E-16,1
floor33,22,a cat drinking beer,23.51689148,18.60126114,0.428571429,0.666666667
gen2,22,a cat drinking beer,18.80381775,15.20461448,0.25,0
modelscope,22,a cat drinking beer,25.29317856,15.33783865,0.333333333,0.666666667
pika,22,a cat drinking beer,25.21018982,17.01514594,0.375,1
zeroscope,22,a cat drinking beer,27.71345711,17.44188881,0.285714286,0.666666667
floor33,23,a dog wearing vr goggles on a boat,34.89089966,18.75414658,0.777777778,1
gen2,23,a dog wearing vr goggles on a boat,26.473423,17.93017292,0.4,0.75
modelscope,23,a dog wearing vr goggles on a boat,32.66961288,19.74538851,0.666666667,1
pika,23,a dog wearing vr goggles on a boat,34.35647964,20.46342405,0.6,1
zeroscope,23,a dog wearing vr goggles on a boat,27.70506668,14.97758269,0.363636364,0.75
floor33,24,a giraffe eating an apple,30.53657722,16.88274145,0.4,1
gen2,24,a giraffe eating an apple,28.77989769,12.72921928,0.222222222,1
modelscope,24,a giraffe eating an apple,23.29596519,17.43309879,0.285714286,0.666666667
pika,24,a giraffe eating an apple,32.8572998,18.25671344,0.285714286,1
zeroscope,24,a giraffe eating an apple,30.46935844,16.47079515,1.63E-16,0.666666667
floor33,25,Five camels walking in the desert,24.91945076,14.20277262,0.375,0.75
gen2,25,Five camels walking in the desert,21.4536705,11.73243403,0.5,0.25
modelscope,25,Five camels walking in the desert,26.6131897,19.59397316,0.375,0.75
pika,25,Five camels walking in the desert,19.98715973,18.31761127,1.09E-16,0.25
zeroscope,25,Five camels walking in the desert,29.42625618,15.1705718,0.25,0.75
floor33,26,Mickey Mouse is dancing on white background,29.85177994,19.22988796,0.125,0.333333333
gen2,26,Mickey Mouse is dancing on white background,31.63373566,21.43793726,0.3,1
modelscope,26,Mickey Mouse is dancing on white background,29.6210041,18.53302908,7.60E-15,1
pika,26,Mickey Mouse is dancing on white background,24.61878777,11.78368198,0.282160575,0
zeroscope,26,Mickey Mouse is dancing on white background,28.49427032,19.99701977,0.222222222,0.666666667
floor33,27,A happy pig rolling in the mud on a sunny day.,28.53093338,13.39481401,0.454545454,1
gen2,27,A happy pig rolling in the mud on a sunny day.,29.30353737,9.993776083,0.257733479,1
modelscope,27,A happy pig rolling in the mud on a sunny day.,27.7678566,15.90755129,0.452418709,0.6
pika,27,A happy pig rolling in the mud on a sunny day.,27.64802551,15.63415411,0.266912468,1
zeroscope,27,A happy pig rolling in the mud on a sunny day.,25.52803802,7.966948628,0.32269607,0.8
floor33,28,"In an African savanna, a majestic lion is prancing behind a small timid rabbit. The rabbit tried to run away, but the lion catches up easily.",25.62386322,1.509352028,0.100948259,0.7
gen2,28,"In an African savanna, a majestic lion is prancing behind a small timid rabbit. The rabbit tried to run away, but the lion catches up easily.",22.46380234,8.84144783,0.092992422,0.7
modelscope,28,"In an African savanna, a majestic lion is prancing behind a small timid rabbit. The rabbit tried to run away, but the lion catches up easily.",24.11566544,9.975088358,0.116240527,0.9
pika,28,"In an African savanna, a majestic lion is prancing behind a small timid rabbit. The rabbit tried to run away, but the lion catches up easily.",27.21529007,11.62454012,0.077850806,0.9
zeroscope,28,"In an African savanna, a majestic lion is prancing behind a small timid rabbit. The rabbit tried to run away, but the lion catches up easily.",29.80216217,16.8231883,0.080758607,0.9
floor33,29,3 sheep enjoying spaghetti together,20.98539162,16.16705656,0.125,0.333333333
gen2,29,3 sheep enjoying spaghetti together,21.96655083,10.30565151,0.125,0.666666667
modelscope,29,3 sheep enjoying spaghetti together,21.30686188,16.86916828,0.4,0.333333333
pika,29,3 sheep enjoying spaghetti together,25.51027489,21.47051536,0.142857143,0.333333333
zeroscope,29,3 sheep enjoying spaghetti together,25.37348747,16.94714046,0.142857143,0.333333333
floor33,30,A photo of a Corgi dog riding a bike in Times Square. It is wearing sunglasses and a beach hat.,31.05896568,18.38739491,0.404062254,0.5
gen2,30,A photo of a Corgi dog riding a bike in Times Square. It is wearing sunglasses and a beach hat.,24.52168846,12.21812161,0.325719529,0.5
modelscope,30,A photo of a Corgi dog riding a bike in Times Square. It is wearing sunglasses and a beach hat.,33.34067535,17.62118483,0.418782251,0.5
pika,30,A photo of a Corgi dog riding a bike in Times Square. It is wearing sunglasses and a beach hat.,31.7970829,17.35206763,0.200560531,0.5
zeroscope,30,A photo of a Corgi dog riding a bike in Times Square. It is wearing sunglasses and a beach hat.,23.54621696,10.27843165,0.257515609,0.5
floor33,31,A pod of dolphins gracefully swim and jump in the ocean.,24.14400101,12.3075223,0.257733479,1
gen2,31,A pod of dolphins gracefully swim and jump in the ocean.,24.49428368,7.516162316,0.272727273,0.8
modelscope,31,A pod of dolphins gracefully swim and jump in the ocean.,27.12889481,12.81923151,0.343644639,0.4
pika,31,A pod of dolphins gracefully swim and jump in the ocean.,25.86408234,9.639455901,0.272727273,0.4
zeroscope,31,A pod of dolphins gracefully swim and jump in the ocean.,26.63056755,15.15815043,0.242022052,0.6
floor33,32,"In the lush forest, a tiger is wandering around with a vigilant gaze while the birds chirp and monkeys play.",29.39632797,18.77445126,0.147151776,0.6
gen2,32,"In the lush forest, a tiger is wandering around with a vigilant gaze while the birds chirp and monkeys play.",24.82175446,11.18226226,0.08367381,0.6
modelscope,32,"In the lush forest, a tiger is wandering around with a vigilant gaze while the birds chirp and monkeys play.",26.93180466,12.404217,0.05578254,0.8
pika,32,"In the lush forest, a tiger is wandering around with a vigilant gaze while the birds chirp and monkeys play.",30.28383064,15.48707411,0.163652682,0.8
zeroscope,32,"In the lush forest, a tiger is wandering around with a vigilant gaze while the birds chirp and monkeys play.",26.48133278,20.02392864,0.256708559,0.6
floor33,33,"The teddy bear and rabbit were snuggled up together. The teddy bear was hugging the rabbit, and the rabbit was nuzzled up to the teddy bear's soft fur.",27.52402115,17.79081249,0.049589666,0.333333333
gen2,33,"The teddy bear and rabbit were snuggled up together. The teddy bear was hugging the rabbit, and the rabbit was nuzzled up to the teddy bear's soft fur.",22.35955429,11.18266431,0.04852635,0.333333333
modelscope,33,"The teddy bear and rabbit were snuggled up together. The teddy bear was hugging the rabbit, and the rabbit was nuzzled up to the teddy bear's soft fur.",26.93484879,14.41153574,0.026911852,0.333333333
pika,33,"The teddy bear and rabbit were snuggled up together. The teddy bear was hugging the rabbit, and the rabbit was nuzzled up to the teddy bear's soft fur.",24.0028019,13.04698584,0.016529889,0.166666667
zeroscope,33,"The teddy bear and rabbit were snuggled up together. The teddy bear was hugging the rabbit, and the rabbit was nuzzled up to the teddy bear's soft fur.",24.41559219,11.6423049,0.016529889,0.333333333
floor33,34,A slithering snake moves through the lush green grass,24.96393013,9.664428711,0.333333333,1
gen2,34,A slithering snake moves through the lush green grass,28.76908684,8.797566215,0.444444444,1
modelscope,34,A slithering snake moves through the lush green grass,27.18518829,9.818065643,0.404353773,1
pika,34,A slithering snake moves through the lush green grass,24.53115654,8.646737734,0.222222222,0.75
zeroscope,34,A slithering snake moves through the lush green grass,25.38665199,12.76305389,0.3,1
floor33,35,A pair of bright green tree frogs cling to a branch in a vibrant tropical rainforest.,28.90100861,12.51495075,0.427496816,1
gen2,35,A pair of bright green tree frogs cling to a branch in a vibrant tropical rainforest.,29.07923126,10.13269361,0.274405818,1
modelscope,35,A pair of bright green tree frogs cling to a branch in a vibrant tropical rainforest.,25.88943863,11.35017204,0.219524654,1
pika,35,A pair of bright green tree frogs cling to a branch in a vibrant tropical rainforest.,29.19347,17.19097095,0.274405818,0.8
zeroscope,35,A pair of bright green tree frogs cling to a branch in a vibrant tropical rainforest.,28.89197731,17.86075783,0.229924651,0.8
floor33,36,Four fluffy white Persian kittens snuggle together in a cozy basket by the fireplace.,28.47046661,20.82608318,0.175731425,0.75
gen2,36,Four fluffy white Persian kittens snuggle together in a cozy basket by the fireplace.,31.47316551,23.23224147,0.335160023,0.75
modelscope,36,Four fluffy white Persian kittens snuggle together in a cozy basket by the fireplace.,33.48875046,20.9160428,0.3187519,0.75
pika,36,Four fluffy white Persian kittens snuggle together in a cozy basket by the fireplace.,31.43965149,20.47494231,0.25500152,0.875
zeroscope,36,Four fluffy white Persian kittens snuggle together in a cozy basket by the fireplace.,31.93702507,19.86754894,0.335160023,0.75
floor33,37,"Eight fluffy yellow ducklings waddle behind their mother, exploring the edge of a pond.",26.76382065,9.787447929,0.201096014,0.857142857
gen2,37,"Eight fluffy yellow ducklings waddle behind their mother, exploring the edge of a pond.",27.29372787,13.83345938,0.19125114,0.857142857
modelscope,37,"Eight fluffy yellow ducklings waddle behind their mother, exploring the edge of a pond.",29.1717186,11.59203315,0.12750076,0.857142857
pika,37,"Eight fluffy yellow ducklings waddle behind their mother, exploring the edge of a pond.",25.93277168,10.41088507,0.071227775,0.714285714
zeroscope,37,"Eight fluffy yellow ducklings waddle behind their mother, exploring the edge of a pond.",27.87624741,11.77241087,0.19125114,0.857142857
floor33,38,"A family of four fluffy, blue penguins waddled along the icy shore.",28.33036232,16.75346279,0.067667642,0.428571429
gen2,38,"A family of four fluffy, blue penguins waddled along the icy shore.",29.23880005,18.88947487,0.227448997,0.571428571
modelscope,38,"A family of four fluffy, blue penguins waddled along the icy shore.",28.99444771,20.0178194,0.227448997,0.428571429
pika,38,"A family of four fluffy, blue penguins waddled along the icy shore.",25.56280708,10.99321371,0.151632665,0.571428571
zeroscope,38,"A family of four fluffy, blue penguins waddled along the icy shore.",28.54656219,20.27438307,0.075816332,0.571428571
floor33,39,Two white swans gracefully swam in the serene lake,27.34505653,13.39491081,0.272727273,0.8
gen2,39,Two white swans gracefully swam in the serene lake,27.25878906,9.146755298,0.441248451,0.8
modelscope,39,Two white swans gracefully swam in the serene lake,27.05098915,13.4545548,0.322061697,0.8
pika,39,Two white swans gracefully swam in the serene lake,27.52097893,11.83626641,0.330936338,1
zeroscope,39,Two white swans gracefully swam in the serene lake,28.33836746,11.46761084,0.444444444,1
floor33,40,"In a small forest, a colorful bird was flying around gracefully. Its shiny feathers reflected the sun rays, creating a beautiful sight.",28.42227745,17.54417133,0.1924692,0.75
gen2,40,"In a small forest, a colorful bird was flying around gracefully. Its shiny feathers reflected the sun rays, creating a beautiful sight.",31.17884254,9.625849724,0.120477685,0.875
modelscope,40,"In a small forest, a colorful bird was flying around gracefully. Its shiny feathers reflected the sun rays, creating a beautiful sight.",28.21912003,13.66980791,0.150597106,0.625
pika,40,"In a small forest, a colorful bird was flying around gracefully. Its shiny feathers reflected the sun rays, creating a beautiful sight.",28.99513435,10.37627231,0.090358264,0.625
zeroscope,40,"In a small forest, a colorful bird was flying around gracefully. Its shiny feathers reflected the sun rays, creating a beautiful sight.",19.95334435,11.623631,0.078625694,0.625
floor33,41,"A spider spins a web, weaving intricate patterns with its silk.",30.06447029,11.94594955,0.272727273,1
gen2,41,"A spider spins a web, weaving intricate patterns with its silk.",27.05668449,8.212805072,0.17182232,1
modelscope,41,"A spider spins a web, weaving intricate patterns with its silk.",28.76324463,13.13836217,0.230769231,1
pika,41,"A spider spins a web, weaving intricate patterns with its silk.",26.19337654,11.64017995,0.272727273,1
zeroscope,41,"A spider spins a web, weaving intricate patterns with its silk.",28.65351486,13.78855443,0.242022052,1
floor33,42,"A horse gallops through a field, kicking up dust with its hooves.",26.06441307,18.11451721,0.245619226,1
gen2,42,"A horse gallops through a field, kicking up dust with its hooves.",25.9855423,20.96484343,0.307692308,0.8
modelscope,42,"A horse gallops through a field, kicking up dust with its hooves.",27.3328743,19.54621601,0.151632665,1
pika,42,"A horse gallops through a field, kicking up dust with its hooves.",27.33153725,20.09879112,0.23884377,1
zeroscope,42,"A horse gallops through a field, kicking up dust with its hooves.",26.87861252,17.45837831,0.12262648,0.8
floor33,43,"A dog chews on a bone, gnawing at it with its teeth.",27.07648849,15.00366831,0.416666667,1
gen2,43,"A dog chews on a bone, gnawing at it with its teeth.",23.09983635,12.23594737,0.31845836,1
modelscope,43,"A dog chews on a bone, gnawing at it with its teeth.",22.6171875,12.40399551,0.30326533,1
pika,43,"A dog chews on a bone, gnawing at it with its teeth.",24.68652725,12.90578281,0.081873075,0.75
zeroscope,43,"A dog chews on a bone, gnawing at it with its teeth.",24.63774872,12.59788132,0.30326533,1
floor33,44,"A cat plays with a ball of yarn, batting it around with its paws.",30.94005585,20.3014822,0.3187519,1
gen2,44,"A cat plays with a ball of yarn, batting it around with its paws.",27.15363884,14.35221275,0.25500152,1
modelscope,44,"A cat plays with a ball of yarn, batting it around with its paws.",24.71164131,13.75130439,0.210216823,0.75
pika,44,"A cat plays with a ball of yarn, batting it around with its paws.",29.57656288,17.76974954,0.295229095,1
zeroscope,44,"A cat plays with a ball of yarn, batting it around with its paws.",29.92127609,19.31349897,0.295229095,1
floor33,45,"A bear rummages through a dumpster, searching for food scraps.",29.21331406,15.99226332,0.2,1
gen2,45,"A bear rummages through a dumpster, searching for food scraps.",25.09082794,8.115876396,0.186125445,0
modelscope,45,"A bear rummages through a dumpster, searching for food scraps.",27.30161858,7.771278262,0.186125445,1
pika,45,"A bear rummages through a dumpster, searching for food scraps.",29.15667152,16.58442381,0.194700196,1
zeroscope,45,"A bear rummages through a dumpster, searching for food scraps.",28.75511742,14.4778266,0.292050294,1
floor33,46,"Three hamster runs on a wheel, exercising in its cage.",25.20541,10.81846619,0.292050294,0.4
gen2,46,"Three hamster runs on a wheel, exercising in its cage.",26.20961571,7.092175484,0.099426591,0.8
modelscope,46,"Three hamster runs on a wheel, exercising in its cage.",28.0932045,15.65916133,0.3,0.8
pika,46,"Three hamster runs on a wheel, exercising in its cage.",29.25723457,9.855799039,0.2,1
zeroscope,46,"Three hamster runs on a wheel, exercising in its cage.",26.10060501,13.39517927,0.3,0.8
floor33,47,Five dogs on the street.,27.58114243,14.62998486,0.375,0.666666667
gen2,47,Five dogs on the street.,28.49173355,11.39142593,0.2,1
modelscope,47,Five dogs on the street.,24.51335907,10.20604873,0.375,0.666666667
pika,47,Five dogs on the street.,22.49484062,13.11169995,0.2,0.333333333
zeroscope,47,Five dogs on the street.,26.63458633,12.31299543,0.25,0.666666667
floor33,48,A fish eating a pelican.,26.63690376,15.28772736,0.142857143,0
gen2,48,A fish eating a pelican.,26.94510651,9.187122663,0.111111111,0
modelscope,48,A fish eating a pelican.,26.20415115,14.11112809,0.142857143,0.25
pika,48,A fish eating a pelican.,17.75728416,8.478719234,0.285714286,0.5
zeroscope,48,A fish eating a pelican.,25.00193787,11.89945817,0.111111111,0
floor33,49,A panda making latte art.,23.71125793,11.91232824,0.125,1
gen2,49,A panda making latte art.,26.90307999,11.67284322,0.142857143,1
modelscope,49,A panda making latte art.,31.6677475,13.90654039,0.125,1
pika,49,A panda making latte art.,34.3108139,15.1916293,0.389400391,1
zeroscope,49,A panda making latte art.,14.87609577,8.699552298,1.63E-16,0
floor33,50,a fat people in McDonald,25.57462692,12.57085848,0.222222222,1
gen2,50,a fat people in McDonald,22.54481697,9.491146326,0.181818182,0.75
modelscope,50,a fat people in McDonald,13.96387863,7.133602381,0.1,0.25
pika,50,a fat people in McDonald,18.04090691,10.72857338,0.2,0.25
zeroscope,50,a fat people in McDonald,13.75809956,7.818359375,0.125,0.75
floor33,51,the brides of dracula,29.1254425,8.179359913,0.4,0.5
gen2,51,the brides of dracula,23.3789463,7.695696672,1.40E-16,0.5
modelscope,51,the brides of dracula,19.37700653,7.241106153,0.1,1
pika,51,the brides of dracula,28.1173687,8.107180754,0.111111111,0.5
zeroscope,51,the brides of dracula,28.42478371,11.45255399,0.285714286,0.5
floor33,52,Darth Vader watches as the sea becomes calm once again.,33.4003067,16.51927042,0.1,0.666666667
gen2,52,Darth Vader watches as the sea becomes calm once again.,30.25510025,18.47480615,0.1,0.666666667
modelscope,52,Darth Vader watches as the sea becomes calm once again.,33.86750793,18.16610861,0.1,0.333333333
pika,52,Darth Vader watches as the sea becomes calm once again.,30.68771935,14.54377365,0.099426591,0.666666667
zeroscope,52,Darth Vader watches as the sea becomes calm once again.,23.5083046,10.32910824,0.1,0
floor33,53,"mona lisa, smiling, The illustration is in HD with 4k resolution, with highly detailed facial features",26.53614998,18.19438553,0.031479267,0.5
gen2,53,"mona lisa, smiling, The illustration is in HD with 4k resolution, with highly detailed facial features",30.39783096,19.1727608,0.04598493,0.666666667
modelscope,53,"mona lisa, smiling, The illustration is in HD with 4k resolution, with highly detailed facial features",27.83947563,15.62547517,0.09196986,0.5
pika,53,"mona lisa, smiling, The illustration is in HD with 4k resolution, with highly detailed facial features",26.38731575,18.77057309,0.059710943,0.666666667
zeroscope,53,"mona lisa, smiling, The illustration is in HD with 4k resolution, with highly detailed facial features",25.57898331,16.64288497,0.059710943,0.5
floor33,54,"medium shot of Christine, a beautiful 25-year-old brunette resembling Selena Gomez, anxiously looking up as she walks down a New York street, cinematic style",26.25672531,7.433929443,0.027883687,0
gen2,54,"medium shot of Christine, a beautiful 25-year-old brunette resembling Selena Gomez, anxiously looking up as she walks down a New York street, cinematic style",29.758358,13.41872938,0.041972356,0.222222222
modelscope,54,"medium shot of Christine, a beautiful 25-year-old brunette resembling Selena Gomez, anxiously looking up as she walks down a New York street, cinematic style",26.23975754,12.33167362,0.073979089,0.222222222
pika,54,"medium shot of Christine, a beautiful 25-year-old brunette resembling Selena Gomez, anxiously looking up as she walks down a New York street, cinematic style",27.50808144,12.9753454,0.041972356,0.222222222
zeroscope,54,"medium shot of Christine, a beautiful 25-year-old brunette resembling Selena Gomez, anxiously looking up as she walks down a New York street, cinematic style",26.52656937,8.791369677,0.041972356,0
floor33,55,five aliens in a forest,28.409338,13.74150896,0.4,0.666666667
